feature,gain
rmean_28,72446669.34412956
rmean_180,35632281.530109406
item_id,16420861.648460388
rmean_60,14775262.084360123
rmean_14,8291153.750333786
rmean_7,2825867.8512210846
lag_364,1243760.0575447083
dayofweek,809309.4728450775
days_since_release,722266.9703350067
lag_28,706628.010799408
price_rel_item,675010.8699798584
weekofyear,644333.5344944
store_id,570283.8441524506
month,488568.12362098694
dept_id,462226.3493652344
weekday,379225.50964927673
is_weekend,272484.01825904846
price_rel_dept,260960.2073173523
sell_price,250228.91100883484
zero_rate_28,246433.26629447937
dayofmonth,219917.69651031494
event_name_1,180157.20851516724
lag_35,178435.0382976532
rstd_28,162253.52674102783
lag_29,145803.65122795105
lag_42,118628.34556007385
lag_56,114173.63147354126
snap,113785.47937774658
event_type_1,100859.36613464355
cat_id,93188.60207939148
state_id,75781.45814704895
rstd_7,64643.97797203064
price_change_w,46001.043016433716
lag_30,36482.518909454346
year,33183.94100189209
event_name_2,0.0
event_type_2,0.0
is_event,0.0
